season,round,race_name,driver_id,driver_track_gap_mean,driver_track_finish_mean,driver_track_experience_count
2023,15,Singapore Grand Prix,albon,0.931438457286798,12.885714285714286,1
2024,18,Singapore Grand Prix,albon,0.942329817732706,12.833333333333334,2
2022,6,Spanish Grand Prix,albon,0.942329817732706,12.833333333333334,0
2023,7,Spanish Grand Prix,albon,0.942329817732706,12.972972972972974,1
2024,10,Spanish Grand Prix,albon,0.9170332035837924,13.052631578947368,2
2022,21,São Paulo Grand Prix,albon,0.9170332035837924,13.052631578947368,0
2023,20,São Paulo Grand Prix,albon,0.8990623365330591,13.102564102564102,1
2024,21,São Paulo Grand Prix,albon,0.8990623365330591,13.25,2
2022,19,United States Grand Prix,albon,0.8990623365330591,13.25,0
2023,18,United States Grand Prix,albon,0.9166955573574511,13.24390243902439,1
2024,19,United States Grand Prix,albon,0.9394661952612855,13.142857142857142,2
2022,22,Abu Dhabi Grand Prix,alonso,0.9394661952612855,13.142857142857142,0
2023,22,Abu Dhabi Grand Prix,alonso,0.9394661952612855,13.30232558139535,1
2024,24,Abu Dhabi Grand Prix,alonso,0.9219770258327066,13.159090909090908,2
2022,3,Australian Grand Prix,alonso,0.9219770258327066,13.159090909090908,0
2023,3,Australian Grand Prix,alonso,0.9219770258327066,13.244444444444444,1
2024,3,Australian Grand Prix,alonso,0.8894125754027208,13.021739130434783,2
2022,11,Austrian Grand Prix,alonso,0.8894125754027208,13.021739130434783,0
2023,9,Austrian Grand Prix,alonso,0.8894125754027208,12.957446808510639,1
2024,11,Austrian Grand Prix,alonso,0.8709636716370125,12.791666666666666,2
2022,8,Azerbaijan Grand Prix,alonso,0.8709636716370125,12.791666666666666,0
2023,4,Azerbaijan Grand Prix,alonso,0.8862276276804847,12.673469387755102,1
2024,17,Azerbaijan Grand Prix,alonso,0.870218387318875,12.5,2
2022,1,Bahrain Grand Prix,alonso,0.870218387318875,12.5,0
2023,1,Bahrain Grand Prix,alonso,0.8522302030660375,12.431372549019608,1
2024,1,Bahrain Grand Prix,alonso,0.8463417811762106,12.25,2
2022,14,Belgian Grand Prix,alonso,0.8463417811762106,12.25,0
2023,12,Belgian Grand Prix,alonso,0.8584914881469639,12.11320754716981,1
2024,14,Belgian Grand Prix,alonso,0.855962510563544,11.981481481481481,2
2022,10,British Grand Prix,alonso,0.855962510563544,11.981481481481481,0
2023,10,British Grand Prix,alonso,0.8352797912530182,11.854545454545455,1
2024,12,British Grand Prix,alonso,0.8196667199717517,11.767857142857142,2
2022,9,Canadian Grand Prix,alonso,0.8196667199717517,11.767857142857142,0
2023,8,Canadian Grand Prix,alonso,0.8089807536567055,11.719298245614034,1
2024,9,Canadian Grand Prix,alonso,0.7882376574090977,11.551724137931034,2
2024,5,Chinese Grand Prix,alonso,0.7882376574090977,11.551724137931034,0
2022,15,Dutch Grand Prix,alonso,0.7882376574090977,11.551724137931034,0
2023,13,Dutch Grand Prix,alonso,0.7736299798627593,11.457627118644067,1
2024,15,Dutch Grand Prix,alonso,0.7547609559636675,11.3,2
2022,4,Emilia Romagna Grand Prix,alonso,0.7547609559636675,11.3,0
2024,7,Emilia Romagna Grand Prix,alonso,0.7547609559636675,11.426229508196721,1
2022,12,French Grand Prix,alonso,0.7547609559636675,11.426229508196721,0
2022,13,Hungarian Grand Prix,alonso,0.7547609559636675,11.426229508196721,0
2023,11,Hungarian Grand Prix,alonso,0.7547609559636675,11.370967741935484,1
2024,13,Hungarian Grand Prix,alonso,0.7575707291209951,11.333333333333334,2
2022,16,Italian Grand Prix,alonso,0.7575707291209951,11.333333333333334,0
2023,14,Italian Grand Prix,alonso,0.7575707291209951,11.453125,1
2024,16,Italian Grand Prix,alonso,0.7601082999439908,11.415384615384616,2
2022,18,Japanese Grand Prix,alonso,0.7601082999439908,11.415384615384616,0
2023,16,Japanese Grand Prix,alonso,0.7585011307894195,11.348484848484848,1
2024,4,Japanese Grand Prix,alonso,0.7716816088054199,11.298507462686567,2
2023,21,Las Vegas Grand Prix,alonso,0.7716816088054199,11.298507462686567,0
2024,22,Las Vegas Grand Prix,alonso,0.7652946173096499,11.264705882352942,1
2022,20,Mexico City Grand Prix,alonso,0.7652946173096499,11.264705882352942,0
2023,19,Mexico City Grand Prix,alonso,0.7652946173096499,11.376811594202898,1
2024,20,Mexico City Grand Prix,alonso,0.7652946173096499,11.471428571428572,2
2022,5,Miami Grand Prix,alonso,0.7652946173096499,11.471428571428572,0
2023,5,Miami Grand Prix,alonso,0.7614574418013818,11.464788732394366,1
2024,6,Miami Grand Prix,alonso,0.7532403094246717,11.347222222222221,2
2022,7,Monaco Grand Prix,alonso,0.7532403094246717,11.347222222222221,0
2023,6,Monaco Grand Prix,alonso,0.7522825990282499,11.287671232876713,1
2024,8,Monaco Grand Prix,alonso,0.7433548957656336,11.162162162162161,2
2023,17,Qatar Grand Prix,alonso,0.7433548957656336,11.162162162162161,0
2024,23,Qatar Grand Prix,alonso,0.7452175620681306,11.093333333333334,1
2022,2,Saudi Arabian Grand Prix,alonso,0.7452175620681306,11.093333333333334,0
2023,2,Saudi Arabian Grand Prix,alonso,0.7452175620681306,11.157894736842104,1
2024,2,Saudi Arabian Grand Prix,alonso,0.7367991474129743,11.051948051948052,2
2022,17,Singapore Grand Prix,alonso,0.7367991474129743,11.051948051948052,0
2023,15,Singapore Grand Prix,alonso,0.7367991474129743,11.14102564102564,1
2024,18,Singapore Grand Prix,alonso,0.7493096321544215,11.189873417721518,2
2022,6,Spanish Grand Prix,alonso,0.7493096321544215,11.189873417721518,0
2023,7,Spanish Grand Prix,alonso,0.7493096321544215,11.1625,1
2024,10,Spanish Grand Prix,alonso,0.7522270183154226,11.11111111111111,2
2022,21,São Paulo Grand Prix,alonso,0.7522270183154226,11.11111111111111,0
2023,20,São Paulo Grand Prix,alonso,0.7406070136290218,11.036585365853659,1
2024,21,São Paulo Grand Prix,alonso,0.7350576932146203,10.939759036144578,2
2022,19,United States Grand Prix,alonso,0.7350576932146203,10.939759036144578,0
2023,18,United States Grand Prix,alonso,0.7378433351882987,10.892857142857142,1
2024,19,United States Grand Prix,alonso,0.7378433351882987,10.952941176470588,2
2024,17,Azerbaijan Grand Prix,bearman,0.7378433351882987,10.952941176470588,0
2024,2,Saudi Arabian Grand Prix,bearman,0.7378433351882987,10.952941176470588,0
2024,21,São Paulo Grand Prix,bearman,0.7378433351882987,10.952941176470588,0
2022,22,Abu Dhabi Grand Prix,bottas,0.7378433351882987,10.952941176470588,0
2023,22,Abu Dhabi Grand Prix,bottas,0.7378433351882987,11.0,1
2024,24,Abu Dhabi Grand Prix,bottas,0.7251218983747073,11.091954022988507,2
2022,3,Australian Grand Prix,bottas,0.7251218983747073,11.091954022988507,0
2023,3,Australian Grand Prix,bottas,0.7268337422947152,11.056818181818182,1
2024,3,Australian Grand Prix,bottas,0.716539961532332,11.0561797752809,2
2022,11,Austrian Grand Prix,bottas,0.716539961532332,11.0561797752809,0
2023,9,Austrian Grand Prix,bottas,0.716539961532332,11.055555555555555,1
2024,11,Austrian Grand Prix,bottas,0.713604177619624,11.098901098901099,2
2022,8,Azerbaijan Grand Prix,bottas,0.713604177619624,11.098901098901099,0
2023,4,Azerbaijan Grand Prix,bottas,0.713604177619624,11.097826086956522,1
2024,17,Azerbaijan Grand Prix,bottas,0.707565723141888,11.172043010752688,2
2022,1,Bahrain Grand Prix,bottas,0.707565723141888,11.172043010752688,0
2023,1,Bahrain Grand Prix,bottas,0.6992643457486585,11.117021276595745,1
2024,1,Bahrain Grand Prix,bottas,0.7079411363989673,11.08421052631579,2
2022,14,Belgian Grand Prix,bottas,0.7079411363989673,11.08421052631579,0
2023,12,Belgian Grand Prix,bottas,0.7079411363989673,11.166666666666666,1
2024,14,Belgian Grand Prix,bottas,0.7190378461886335,11.175257731958762,2
2022,10,British Grand Prix,bottas,0.7190378461886335,11.175257731958762,0
2023,10,British Grand Prix,bottas,0.7190378461886335,11.23469387755102,1
2024,12,British Grand Prix,bottas,0.7145629137871741,11.242424242424242,2
2022,9,Canadian Grand Prix,bottas,0.7145629137871741,11.242424242424242,0
2023,8,Canadian Grand Prix,bottas,0.7090692242423761,11.2,1
2024,9,Canadian Grand Prix,bottas,0.7101673659026774,11.188118811881187,2
2024,5,Chinese Grand Prix,bottas,0.7101673659026774,11.188118811881187,0
2022,15,Dutch Grand Prix,bottas,0.7101673659026774,11.188118811881187,0
2023,13,Dutch Grand Prix,bottas,0.7101673659026774,11.264705882352942,1
2024,15,Dutch Grand Prix,bottas,0.7046343444966804,11.29126213592233,2
2022,4,Emilia Romagna Grand Prix,bottas,0.7046343444966804,11.29126213592233,0
2024,7,Emilia Romagna Grand Prix,bottas,0.7006121305050044,11.23076923076923,1
2022,12,French Grand Prix,bottas,0.7006121305050044,11.23076923076923,0
2022,13,Hungarian Grand Prix,bottas,0.7006121305050044,11.23076923076923,0
2023,11,Hungarian Grand Prix,bottas,0.7006121305050044,11.314285714285715,1
2024,13,Hungarian Grand Prix,bottas,0.693900916582807,11.320754716981131,2
2022,16,Italian Grand Prix,bottas,0.693900916582807,11.320754716981131,0
2023,14,Italian Grand Prix,bottas,0.693900916582807,11.336448598130842,1
2024,16,Italian Grand Prix,bottas,0.7011378591901809,11.324074074074074,2
2022,18,Japanese Grand Prix,bottas,0.7011378591901809,11.324074074074074,0
2023,16,Japanese Grand Prix,bottas,0.7206085734478497,11.357798165137615,1
2024,4,Japanese Grand Prix,bottas,0.7206085734478497,11.436363636363636,2
2023,21,Las Vegas Grand Prix,bottas,0.7206085734478497,11.436363636363636,0
2024,22,Las Vegas Grand Prix,bottas,0.7333787278607165,11.486486486486486,1
2022,20,Mexico City Grand Prix,bottas,0.7333787278607165,11.486486486486486,0
2023,19,Mexico City Grand Prix,bottas,0.7333787278607165,11.473214285714286,1
2024,20,Mexico City Grand Prix,bottas,0.7370692650103671,11.504424778761061,2
2022,5,Miami Grand Prix,bottas,0.7370692650103671,11.504424778761061,0
2023,5,Miami Grand Prix,bottas,0.7322848817911632,11.464912280701755,1
2024,6,Miami Grand Prix,bottas,0.7378699266163863,11.478260869565217,2
2022,7,Monaco Grand Prix,bottas,0.7378699266163863,11.478260869565217,0
2023,6,Monaco Grand Prix,bottas,0.7387007208264326,11.456896551724139,1
2024,8,Monaco Grand Prix,bottas,0.7334437825552448,11.452991452991453,2
2023,17,Qatar Grand Prix,bottas,0.7334437825552448,11.452991452991453,0
2024,23,Qatar Grand Prix,bottas,0.7385996387820761,11.423728813559322,1
2022,2,Saudi Arabian Grand Prix,bottas,0.7385996387820761,11.423728813559322,0
2023,2,Saudi Arabian Grand Prix,bottas,0.7385996387820761,11.453781512605042,1
2024,2,Saudi Arabian Grand Prix,bottas,0.7355856850656938,11.508333333333333,2
2022,17,Singapore Grand Prix,bottas,0.7355856850656938,11.508333333333333,0
2023,15,Singapore Grand Prix,bottas,0.7444425359505892,11.50413223140496,1
2024,18,Singapore Grand Prix,bottas,0.7444425359505892,11.549180327868852,2
2022,6,Spanish Grand Prix,bottas,0.7444425359505892,11.549180327868852,0
2023,7,Spanish Grand Prix,bottas,0.7440355977664456,11.504065040650406,1
2024,10,Spanish Grand Prix,bottas,0.7435421336904714,11.564516129032258,2
2022,21,São Paulo Grand Prix,bottas,0.7435421336904714,11.564516129032258,0
2023,20,São Paulo Grand Prix,bottas,0.7382780920182223,11.544,1
2024,21,São Paulo Grand Prix,bottas,0.7382780920182223,11.579365079365079,2
2022,19,United States Grand Prix,bottas,0.7382780920182223,11.579365079365079,0
2023,18,United States Grand Prix,bottas,0.7382780920182223,11.637795275590552,1
2024,19,United States Grand Prix,bottas,0.749705090948243,11.640625,2
2024,24,Abu Dhabi Grand Prix,colapinto,0.749705090948243,11.640625,0
2024,17,Azerbaijan Grand Prix,colapinto,0.749705090948243,11.640625,0
2024,16,Italian Grand Prix,colapinto,0.749705090948243,11.640625,0
2024,22,Las Vegas Grand Prix,colapinto,0.749705090948243,11.640625,0
2024,20,Mexico City Grand Prix,colapinto,0.749705090948243,11.640625,0
2024,23,Qatar Grand Prix,colapinto,0.749705090948243,11.640625,0
2024,18,Singapore Grand Prix,colapinto,0.749705090948243,11.640625,0
2024,21,São Paulo Grand Prix,colapinto,0.749705090948243,11.640625,0
2024,19,United States Grand Prix,colapinto,0.749705090948243,11.640625,0
2023,3,Australian Grand Prix,de_vries,0.749705090948243,11.640625,0
2023,9,Austrian Grand Prix,de_vries,0.749705090948243,11.640625,0
2023,4,Azerbaijan Grand Prix,de_vries,0.749705090948243,11.640625,0
2023,1,Bahrain Grand Prix,de_vries,0.749705090948243,11.640625,0
2023,10,British Grand Prix,de_vries,0.749705090948243,11.640625,0
2023,8,Canadian Grand Prix,de_vries,0.749705090948243,11.640625,0
2022,16,Italian Grand Prix,de_vries,0.749705090948243,11.640625,0
2023,5,Miami Grand Prix,de_vries,0.749705090948243,11.640625,0
2023,6,Monaco Grand Prix,de_vries,0.749705090948243,11.640625,0
2023,2,Saudi Arabian Grand Prix,de_vries,0.749705090948243,11.640625,0
2023,7,Spanish Grand Prix,de_vries,0.749705090948243,11.640625,0
2024,24,Abu Dhabi Grand Prix,doohan,0.749705090948243,11.640625,0
2022,22,Abu Dhabi Grand Prix,gasly,0.749705090948243,11.640625,0
2023,22,Abu Dhabi Grand Prix,gasly,0.749705090948243,11.65891472868217,1
2024,24,Abu Dhabi Grand Prix,gasly,0.7525719369103916,11.669230769230769,2
2022,3,Australian Grand Prix,gasly,0.7525719369103916,11.669230769230769,0
2023,3,Australian Grand Prix,gasly,0.7549324047119583,11.648854961832061,1
2024,3,Australian Grand Prix,gasly,0.7549324047119583,11.659090909090908,2
2022,11,Austrian Grand Prix,gasly,0.7549324047119583,11.659090909090908,0
2023,9,Austrian Grand Prix,gasly,0.7549324047119583,11.68421052631579,1
2024,11,Austrian Grand Prix,gasly,0.7563427226840189,11.671641791044776,2
2022,8,Azerbaijan Grand Prix,gasly,0.7563427226840189,11.671641791044776,0
2023,4,Azerbaijan Grand Prix,gasly,0.7602430540877478,11.622222222222222,1
2024,17,Azerbaijan Grand Prix,gasly,0.7711076531486236,11.639705882352942,2
2022,1,Bahrain Grand Prix,gasly,0.7711076531486236,11.639705882352942,0
2023,1,Bahrain Grand Prix,gasly,0.7711076531486236,11.700729927007298,1
2024,1,Bahrain Grand Prix,gasly,0.7765736836159249,11.681159420289855,2
2022,14,Belgian Grand Prix,gasly,0.7765736836159249,11.681159420289855,0
2023,12,Belgian Grand Prix,gasly,0.7863905843786081,11.661870503597122,1
2024,14,Belgian Grand Prix,gasly,0.7927198431521432,11.657142857142857,2
2022,10,British Grand Prix,gasly,0.7927198431521432,11.657142857142857,0
2023,10,British Grand Prix,gasly,0.7927198431521432,11.687943262411348,1
2024,12,British Grand Prix,gasly,0.7927198431521432,11.732394366197184,2
2022,9,Canadian Grand Prix,gasly,0.7927198431521432,11.732394366197184,0
2023,8,Canadian Grand Prix,gasly,0.7910205365324967,11.748251748251748,1
2024,9,Canadian Grand Prix,gasly,0.7910663047531403,11.75,2
2024,5,Chinese Grand Prix,gasly,0.7910663047531403,11.75,0
2022,15,Dutch Grand Prix,gasly,0.7910663047531403,11.75,0
2023,13,Dutch Grand Prix,gasly,0.7861953462848947,11.744827586206897,1
2024,15,Dutch Grand Prix,gasly,0.7786426159940059,11.684931506849315,2
2022,4,Emilia Romagna Grand Prix,gasly,0.7786426159940059,11.684931506849315,0
2024,7,Emilia Romagna Grand Prix,gasly,0.7786426159940059,11.687074829931973,1
2022,12,French Grand Prix,gasly,0.7786426159940059,11.687074829931973,0
2022,13,Hungarian Grand Prix,gasly,0.7786426159940059,11.687074829931973,0
2023,11,Hungarian Grand Prix,gasly,0.7786426159940059,11.68918918918919,1
2024,13,Hungarian Grand Prix,gasly,0.7786426159940059,11.74496644295302,2
2022,16,Italian Grand Prix,gasly,0.7786426159940059,11.74496644295302,0
2023,14,Italian Grand Prix,gasly,0.7715303501949432,11.72,1
2024,16,Italian Grand Prix,gasly,0.77958308590868,11.741721854304636,2
2022,18,Japanese Grand Prix,gasly,0.77958308590868,11.741721854304636,0
2023,16,Japanese Grand Prix,gasly,0.8005154315927524,11.782894736842104,1
2024,4,Japanese Grand Prix,gasly,0.8074778219230492,11.77124183006536,2
2023,21,Las Vegas Grand Prix,gasly,0.8074778219230492,11.77124183006536,0
2024,22,Las Vegas Grand Prix,gasly,0.8058906586034079,11.766233766233766,1
2022,20,Mexico City Grand Prix,gasly,0.8058906586034079,11.766233766233766,0
2023,19,Mexico City Grand Prix,gasly,0.8058906586034079,11.761290322580646,1
2024,20,Mexico City Grand Prix,gasly,0.805229060992243,11.756410256410257,2
2022,5,Miami Grand Prix,gasly,0.805229060992243,11.756410256410257,0
2023,5,Miami Grand Prix,gasly,0.805229060992243,11.796178343949045,1
2024,6,Miami Grand Prix,gasly,0.8059622178048482,11.772151898734178,2
2022,7,Monaco Grand Prix,gasly,0.8059622178048482,11.772151898734178,0
2023,6,Monaco Grand Prix,gasly,0.8061912004198968,11.767295597484276,1
2024,8,Monaco Grand Prix,gasly,0.8056422052566148,11.7375,2
2023,17,Qatar Grand Prix,gasly,0.8056422052566148,11.7375,0
2024,23,Qatar Grand Prix,gasly,0.811349221874609,11.73913043478261,1
2022,2,Saudi Arabian Grand Prix,gasly,0.811349221874609,11.73913043478261,0
2023,2,Saudi Arabian Grand Prix,gasly,0.8153546418574108,11.716049382716049,1
2024,2,Saudi Arabian Grand Prix,gasly,0.816922690567798,11.699386503067485,2
2022,17,Singapore Grand Prix,gasly,0.816922690567798,11.699386503067485,0
2023,15,Singapore Grand Prix,gasly,0.8197906950351213,11.689024390243903,1
2024,18,Singapore Grand Prix,gasly,0.8178900580690819,11.654545454545454,2
2022,6,Spanish Grand Prix,gasly,0.8178900580690819,11.654545454545454,0
2023,7,Spanish Grand Prix,gasly,0.8178900580690819,11.662650602409638,1
2024,10,Spanish Grand Prix,gasly,0.8199380945624367,11.652694610778443,2
2022,21,São Paulo Grand Prix,gasly,0.8199380945624367,11.652694610778443,0
2023,20,São Paulo Grand Prix,gasly,0.8164938636859933,11.666666666666666,1
2024,21,São Paulo Grand Prix,gasly,0.8158185343140759,11.63905325443787,2
2022,19,United States Grand Prix,gasly,0.8158185343140759,11.63905325443787,0
2023,18,United States Grand Prix,gasly,0.8205990395601368,11.652941176470588,1
2024,19,United States Grand Prix,gasly,0.8205711784161552,11.619883040935672,2
2022,22,Abu Dhabi Grand Prix,hamilton,0.8205711784161552,11.619883040935672,0
2023,22,Abu Dhabi Grand Prix,hamilton,0.8205711784161552,11.656976744186046,1
2024,24,Abu Dhabi Grand Prix,hamilton,0.818294713140273,11.641618497109826,2
2022,3,Australian Grand Prix,hamilton,0.818294713140273,11.641618497109826,0
2023,3,Australian Grand Prix,hamilton,0.812580124128083,11.597701149425287,1
2024,3,Australian Grand Prix,hamilton,0.8058086230936823,11.542857142857143,2
2022,11,Austrian Grand Prix,hamilton,0.8058086230936823,11.542857142857143,0
2023,9,Austrian Grand Prix,hamilton,0.8037684168034192,11.494318181818182,1
2024,11,Austrian Grand Prix,hamilton,0.8022645426873901,11.474576271186441,2
2022,8,Azerbaijan Grand Prix,hamilton,0.8022645426873901,11.474576271186441,0
2023,4,Azerbaijan Grand Prix,hamilton,0.8038491925077221,11.432584269662922,1
2024,17,Azerbaijan Grand Prix,hamilton,0.8043254245099527,11.402234636871508,2
2022,1,Bahrain Grand Prix,hamilton,0.8043254245099527,11.402234636871508,0
2023,1,Bahrain Grand Prix,hamilton,0.798463031640189,11.355555555555556,1
2024,1,Bahrain Grand Prix,hamilton,0.7990657338396472,11.320441988950277,2
2022,14,Belgian Grand Prix,hamilton,0.7990657338396472,11.320441988950277,0
2023,12,Belgian Grand Prix,hamilton,0.7990657338396472,11.368131868131869,1
2024,14,Belgian Grand Prix,hamilton,0.7976711575531503,11.327868852459016,2
2022,10,British Grand Prix,hamilton,0.7976711575531503,11.327868852459016,0
2023,10,British Grand Prix,hamilton,0.7918068396155356,11.282608695652174,1
2024,12,British Grand Prix,hamilton,0.7861137931545922,11.237837837837837,2
2022,9,Canadian Grand Prix,hamilton,0.7861137931545922,11.237837837837837,0
2023,8,Canadian Grand Prix,hamilton,0.7807275332072493,11.193548387096774,1
2024,9,Canadian Grand Prix,hamilton,0.775269198711665,11.149732620320856,2
2024,5,Chinese Grand Prix,hamilton,0.775269198711665,11.149732620320856,0
2022,15,Dutch Grand Prix,hamilton,0.775269198711665,11.149732620320856,0
2023,13,Dutch Grand Prix,hamilton,0.7703371298662063,11.111702127659575,1
2024,15,Dutch Grand Prix,hamilton,0.7655335298922749,11.084656084656086,2
2022,4,Emilia Romagna Grand Prix,hamilton,0.7655335298922749,11.084656084656086,0
2024,7,Emilia Romagna Grand Prix,hamilton,0.7655335298922749,11.094736842105263,1
2022,12,French Grand Prix,hamilton,0.7655335298922749,11.094736842105263,0
2022,13,Hungarian Grand Prix,hamilton,0.7655335298922749,11.094736842105263,0
2023,11,Hungarian Grand Prix,hamilton,0.759820593102034,11.047120418848168,1
2024,13,Hungarian Grand Prix,hamilton,0.7567868955869925,11.010416666666666,2
2022,16,Italian Grand Prix,hamilton,0.7567868955869925,11.010416666666666,0
2023,14,Italian Grand Prix,hamilton,0.7516293337853678,10.979274611398964,1
2024,16,Italian Grand Prix,hamilton,0.7519517760319611,10.95360824742268,2
2022,18,Japanese Grand Prix,hamilton,0.7519517760319611,10.95360824742268,0
2023,16,Japanese Grand Prix,hamilton,0.7499345271373195,10.923076923076923,1
2024,4,Japanese Grand Prix,hamilton,0.7508223335797956,10.892857142857142,2
2023,21,Las Vegas Grand Prix,hamilton,0.7508223335797956,10.892857142857142,0
2024,22,Las Vegas Grand Prix,hamilton,0.7482714597685114,10.873096446700508,1
2022,20,Mexico City Grand Prix,hamilton,0.7482714597685114,10.873096446700508,0
2023,19,Mexico City Grand Prix,hamilton,0.7429645699829192,10.828282828282829,1
2024,20,Mexico City Grand Prix,hamilton,0.7377324251238845,10.78391959798995,2
2022,5,Miami Grand Prix,hamilton,0.7377324251238845,10.78391959798995,0
2023,5,Miami Grand Prix,hamilton,0.7347304930625347,10.76,1
2024,6,Miami Grand Prix,hamilton,0.7352160391024269,10.7363184079602,2
2022,7,Monaco Grand Prix,hamilton,0.7352160391024269,10.7363184079602,0
2023,6,Monaco Grand Prix,hamilton,0.7354509715913758,10.722772277227723,1
2024,8,Monaco Grand Prix,hamilton,0.7334871345889059,10.689655172413794,2
2023,17,Qatar Grand Prix,hamilton,0.7334871345889059,10.689655172413794,0
2024,23,Qatar Grand Prix,hamilton,0.7334871345889059,10.730392156862745,1
2022,2,Saudi Arabian Grand Prix,hamilton,0.7334871345889059,10.730392156862745,0
2023,2,Saudi Arabian Grand Prix,hamilton,0.7384836846937433,10.726829268292683,1
2024,2,Saudi Arabian Grand Prix,hamilton,0.7369682543917585,10.699029126213592,2
2022,17,Singapore Grand Prix,hamilton,0.7369682543917585,10.699029126213592,0
2023,15,Singapore Grand Prix,hamilton,0.7387244679045427,10.690821256038648,1
2024,18,Singapore Grand Prix,hamilton,0.7338487779034586,10.653846153846153,2
2022,6,Spanish Grand Prix,hamilton,0.7338487779034586,10.653846153846153,0
2023,7,Spanish Grand Prix,hamilton,0.733149197395569,10.626794258373206,1
2024,10,Spanish Grand Prix,hamilton,0.7303010268385407,10.585714285714285,2
2022,21,São Paulo Grand Prix,hamilton,0.7303010268385407,10.585714285714285,0
2023,20,São Paulo Grand Prix,hamilton,0.7255278175127987,10.545023696682465,1
2024,21,São Paulo Grand Prix,hamilton,0.7262330054546855,10.533018867924529,2
